episode,avg_reward,avg_loss,avg_qmax,epsilon
473,3.5859,0.0000,nan,0.0929
474,-0.8311,0.0000,nan,0.0925
475,0.0000,0.0000,0.0000,0.0920
476,0.2063,0.0000,nan,0.0915
477,-0.4388,0.0000,nan,0.0911
478,-1.2655,nan,nan,0.0906
479,0.0000,0.0000,nan,0.0902
480,0.3306,0.0000,nan,0.0897
481,0.0101,0.0000,nan,0.0893
482,-0.3819,0.0000,nan,0.0888
483,-0.4365,0.0000,nan,0.0884
484,0.0196,nan,nan,0.0879
485,0.5723,0.0000,nan,0.0875
486,-0.1417,0.0000,nan,0.0871
487,-0.2520,0.0000,nan,0.0866
488,-0.1078,0.0000,nan,0.0862
489,-0.2469,0.0000,nan,0.0858
490,-0.1095,nan,nan,0.0853
491,-0.8519,0.0000,nan,0.0849
492,-0.6612,0.0000,nan,0.0845
493,-0.3460,0.0000,nan,0.0841
494,-0.5695,0.0000,nan,0.0836
495,1.4411,0.0000,nan,0.0832
496,-0.0637,nan,nan,0.0828
497,-0.2973,0.0000,nan,0.0824
498,-0.1216,0.0000,nan,0.0820
499,-0.6570,0.0000,nan,0.0816
500,-0.4999,nan,nan,0.0812
501,-0.1909,0.0000,nan,0.0808
502,-0.0489,0.0000,nan,0.0804
503,-0.8500,0.0000,nan,0.0800
504,-0.2840,nan,nan,0.0796
505,-0.6626,0.0000,nan,0.0792
506,-0.4901,0.0000,nan,0.0788
507,-0.4727,0.0000,0.0000,0.0784
508,-0.4360,0.0000,nan,0.0780
509,-0.4426,0.0000,0.0000,0.0776
510,-1.2131,0.0000,nan,0.0772
511,-0.6486,0.0000,nan,0.0768
512,-0.1183,nan,nan,0.0764
513,-0.0621,0.0000,nan,0.0760
514,0.1463,0.0000,nan,0.0757
515,-0.3566,0.0000,nan,0.0753
516,-0.0817,nan,nan,0.0749
517,-0.5389,0.0000,nan,0.0745
518,-0.5016,0.0000,nan,0.0742
519,-0.4559,0.0000,nan,0.0738
520,-0.0305,0.0000,nan,0.0734
521,-0.0742,0.0000,nan,0.0731
522,0.2850,nan,nan,0.0727
523,-0.0163,0.0000,nan,0.0723
524,-0.1398,0.0000,nan,0.0720
525,-0.2368,0.0000,nan,0.0716
526,0.0422,nan,nan,0.0712
527,-1.2093,0.0000,nan,0.0709
528,-0.3234,0.0000,nan,0.0705
529,-0.2639,0.0000,nan,0.0702
530,-0.2894,nan,nan,0.0698
531,0.0815,0.0000,nan,0.0695
532,-0.0859,0.0000,nan,0.0691
533,-0.4644,0.0000,nan,0.0688
534,-0.2312,nan,nan,0.0684
535,-0.4507,0.0000,nan,0.0681
536,0.0638,0.0000,nan,0.0678
537,-0.9656,0.0000,nan,0.0674
538,0.2009,0.0000,nan,0.0671
539,1.3233,0.0000,0.0000,0.0668
540,-0.1272,nan,nan,0.0664
541,-0.0710,0.0000,nan,0.0661
542,-0.0430,0.0000,nan,0.0658
543,-0.2158,0.0000,nan,0.0654
544,0.0777,0.0000,nan,0.0651
545,-0.2245,0.0000,nan,0.0648
546,-0.2131,nan,nan,0.0645
547,-0.1934,0.0000,nan,0.0641
548,-0.1254,0.0000,nan,0.0638
549,-0.1359,0.0000,nan,0.0635
550,0.0874,0.0000,nan,0.0632
551,-1.1057,0.0000,nan,0.0629
552,0.0382,0.0000,nan,0.0625
553,-0.3362,0.0000,nan,0.0622
554,0.1060,nan,nan,0.0619
555,-0.0707,0.0000,nan,0.0616
556,-0.1138,0.0000,nan,0.0613
557,-0.7235,0.0000,nan,0.0610
558,-0.1962,nan,nan,0.0607
559,-0.1174,0.0000,nan,0.0604
560,-0.7777,0.0000,nan,0.0601
