learn_step,loss
1008,0.1411
1009,0.5159
1010,0.1457
1011,0.1501
1012,0.1460
1013,10.2811
1014,0.1250
1015,0.1957
1016,0.2102
1017,0.5671
1018,0.0642
1019,0.1160
1020,0.1216
1021,0.1539
1022,31.2253
1023,0.1410
1024,0.1378
1025,2.9184
1026,0.1170
1027,0.1318
1028,0.1244
1029,0.1509
1030,0.0830
1031,0.0995
1032,0.1777
1033,0.1445
1034,0.1898
1035,0.2416
1036,0.1222
1037,0.1288
1038,0.1332
1039,9.0518
1040,54.5718
1041,0.1709
1042,0.0808
1043,0.2155
1044,0.1514
1045,0.1413
1046,0.2535
1047,0.0874
1048,0.1003
1049,0.1700
1050,0.1103
1051,49.9030
1052,0.1293
1053,0.2174
1054,0.1480
1055,0.1206
1056,0.1273
1057,0.1809
1058,0.1490
1059,0.1417
1060,41.1223
1061,0.1258
1062,0.2600
1063,0.1311
1064,0.2272
1065,0.5165
1066,0.2668
1067,0.5345
1068,0.2383
1069,0.2892
1070,41.0917
1071,0.1447
1072,0.1518
1073,0.1023
1074,0.2713
1075,0.2061
1076,0.2238
1077,0.1436
1078,0.1401
1079,0.1566
1080,0.1831
1081,0.0840
1082,0.1213
1083,0.1754
1084,0.2107
1085,0.1139
1086,0.2198
1087,0.1413
1088,0.1457
1089,0.0844
1090,0.1203
1091,0.2351
1092,0.0656
1093,0.1622
1094,0.0949
1095,0.1442
1096,0.1857
1097,0.1962
1098,0.2069
1099,0.1388
1100,0.4704
1101,0.1916
1102,0.1895
1103,0.1436
1104,0.4291
1105,0.2293
1106,0.1253
1107,0.1536
1108,0.2121
1109,0.1392
1110,0.2600
1111,0.1125
1112,0.2000
1113,0.1554
1114,0.0700
1115,45.7197
1116,0.2103
1117,0.2275
1118,0.1588
1119,0.2138
1120,0.1982
1121,0.1234
1122,0.1895
1123,0.1677
1124,0.1149
1125,0.2107
1126,0.2090
1127,0.0839
1128,0.0948
1129,0.1067
1130,0.0966
1131,0.0812
1132,0.1638
1133,0.1424
1134,0.1435
1135,0.1463
1136,0.1069
1137,0.1046
1138,26.6090
1139,0.0801
1140,31.8059
1141,0.1334
1142,0.1055
1143,0.0816
1144,0.1727
1145,0.1264
1146,0.1480
1147,0.1654
1148,0.1296
1149,0.1704
1150,0.1334
1151,0.2308
1152,0.2400
1153,0.1963
1154,0.2842
1155,0.0867
1156,0.2532
1157,0.1641
1158,0.0824
1159,0.1092
1160,0.1395
1161,0.1161
1162,0.0738
1163,0.1129
1164,0.1086
1165,0.2650
1166,0.1430
1167,0.0873
1168,0.1846
1169,0.0812
1170,0.0909
1171,0.1172
1172,0.1373
1173,0.0850
