2025-06-07 22:02:17,480 Initialized agent with reward_scale=10.0, norm_alpha=0.01
2025-06-07 22:02:55,253 step=0, reward=-0.3776, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,305 step=0, reward=-0.4988, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,349 step=0, reward=-0.6402, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,411 step=0, reward=-0.3492, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,464 step=0, reward=-0.3279, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,517 step=0, reward=-1.0558, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,565 step=0, reward=-1.2079, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,622 step=0, reward=-0.7244, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,677 step=0, reward=-0.5917, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,722 step=0, reward=-0.8584, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,767 step=0, reward=-1.0895, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,884 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,488 step=0, reward=0.5711, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,535 step=0, reward=0.2340, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,579 step=0, reward=0.2720, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,636 step=0, reward=0.6749, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,687 step=0, reward=0.3993, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,734 step=0, reward=0.3108, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,796 step=0, reward=0.2087, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,849 step=0, reward=-0.0588, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,898 step=0, reward=-0.2774, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:57,959 step=0, reward=-0.2373, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:58,012 step=0, reward=-0.7503, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:58,069 step=0, reward=-0.4767, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:58,119 step=0, reward=-0.5901, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:58,164 step=0, reward=-0.6957, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:58,210 step=0, reward=-0.8440, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:58,323 step=0, reward=-0.2461, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:59,915 step=0, reward=-11.0328, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:59,963 step=0, reward=-0.0042, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:03:00,010 step=0, reward=-0.0315, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:03:00,052 step=0, reward=-0.0278, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:03:00,100 step=0, reward=0.0475, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:03:00,166 step=0, reward=0.0398, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:03:00,229 step=0, reward=0.0530, epsilon=1.0000, reward_scale=10.0
